Description/notes,From,To,Mode,Time,Service,Optimize,Max dist,Arrive by,Depart by,Expected output,Expected number of legs,Expected trip duration,Expected trip distance,Passes?
Tests N Prescott St MAX Station (11511) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.555359,-122.682036","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*11511,,,,
Tests N Killingsworth St MAX Station (11512) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.562665,-122.681500","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*11512,,,,
Tests Rosa Parks MAX Station (11513) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.569896,-122.681635","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*11513,,,,
Tests N Lombard TC MAX Station (11514) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.577947,-122.681672","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*11514,,,,
Tests Kenton/N Denver Ave MAX Station (11515) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.584541,-122.686484","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*11515,,,,
Tests Delta Park/Vanport MAX Station (11516) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.596426,-122.686350","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*11516,,,,
Tests Expo Center MAX Station (11498) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.606461,-122.688932","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*11498,,,,
#NAME?,,,,,,,,,,,,,,
Tests Expo Center MAX Station (11498) departure to Pioneer Courthouse Square,"45.606461,-122.688932","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,11498.*MAX,,,,
Tests Delta Park/Vanport MAX Station (11499) departure to Pioneer Courthouse Square,"45.596842,-122.685908","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,11499.*MAX,,,,
Tests Kenton/N Denver Ave MAX Station (11500) departure to Pioneer Courthouse Square,"45.584119,-122.686780","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,11500.*MAX,,,,
Tests N Lombard TC MAX Station (11501) departure to Pioneer Courthouse Square,"45.577121,-122.682959","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,11501.*MAX,,,,
Tests Rosa Parks MAX Station (11502) departure to Pioneer Courthouse Square,"45.569900,-122.682844","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,11502.*MAX,,,,
Tests N Killingsworth St MAX Station (11503) departure to Pioneer Courthouse Square,"45.562663,-122.682829","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,11503.*MAX,,,,
Tests N Prescott St MAX Station (11504) departure to Pioneer Courthouse Square,"45.555433,-122.682913","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,11504.*MAX,,,,
Tests Overlook Park MAX Station (11505) departure to Pioneer Courthouse Square,"45.547799,-122.681658","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,11505.*MAX,,,,
Tests Albina/Mississippi MAX Station (11506) departure to Pioneer Courthouse Square,"45.539366,-122.675682","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,11506.*MAX,,,,
Tests Interstate/Rose Quarter MAX Station (11506|11507) departure to Pioneer Courthouse Square,"45.533871,-122.672577","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,1260,,,(11506|11507).*MAX,,,,
Tests Union Station/NW 5th & Glisan St MAX Station (7601) departure to Pioneer Courthouse Square,"45.527348,-122.675323","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,7601.*MAX,,,,
Tests NW 5th & Couch St MAX Station (9303) departure to Pioneer Courthouse Square,"45.524507,-122.675280","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,420,,,9303.*MAX,,,,
Tests SW 5th & Oak St MAX Station (7627) departure to PSU,"45.521349,-122.675727","45.511691,-122.682076","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:15 AM,,QUICK,840,,,7627.*MAX,,,,"Was walking, changed coords"
Tests City Hall/SW Jefferson St MAX Station (7608) arrival from Expo Center,"45.606842,-122.688194","45.514732,-122.679571","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*7608,,,,"Was walking, changed coords"
Tests PSU/SW 5th & Mill St MAX Station (7618) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.511330,-122.681014","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*7618,,,,
#NAME?,,,,,,,,,,,,,,
Tests Clackamas Town Center TC MAX Station (13132) departure to Pioneer Courthouse Square,"45.433393,-122.568946","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,1609,,,13132.*MAX,,,,
Tests SE Fuller Rd MAX Station (13133) departure to Pioneer Courthouse Square,"45.453979,-122.574473","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,13133.*MAX,,,,
Tests SE Flavel St MAX Station (13134) departure to Pioneer Courthouse Square,"45.468430,-122.569350","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,13134.*MAX,,,,
Tests Lents/SE Foster Rd MAX Station (13135) departure to Pioneer Courthouse Square,"45.479586,-122.567789","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,13135.*MAX,,,,
Tests SE Holgate Blvd MAX Station (13136) departure to Pioneer Courthouse Square,"45.490020,-122.567435","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,13136.*MAX,,,,
Tests SE Powell Blvd MAX Station (13137) departure to Pioneer Courthouse Square,"45.497385,-122.568771","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,13137.*MAX,,,,
Tests SE Division St MAX Station (13138) departure to Pioneer Courthouse Square,"45.504469,-122.567982","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,13138.*MAX,,,,
Tests SE Main St MAX Station (13139) departure to Pioneer Courthouse Square,"45.514025,-122.562618","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,13139.*MAX,,,,
#NAME?,,,,,,,,,,,,,,
Tests SE Main St MAX Station (13124) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.514025,-122.562618","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*13124,,,,
Tests SE Division St MAX Station (13125) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.504438,-122.565819","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*13125,,,,
Tests SE Powell Blvd MAX Station (13126) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.497153,-122.564319","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*13126,,,,
Tests SE Holgate Blvd MAX Station (13127) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.489959,-122.564936","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*13127,,,,
Tests Lents/SE Foster Rd MAX Station (13128) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.478439,-122.566389","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*13128,,,,
Tests SE Flavel St MAX Station (13129) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.467540,-122.567484","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*13129,,,,
Tests SE Fuller Rd MAX Station (13130) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.452543,-122.576383","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*13130,,,,
Tests Clackamas Town Center TC MAX Station (13132) departure to Pioneer Courthouse Square,"45.518875,-122.679290","45.435413,-122.570300","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*13132,,,,
#NAME?,,,,,,,,,,,,,,
Tests Wilsonville WES Station (13070) departure to outside Beaverton Transit Center (13066),"45.310192,-122.776922","45.491320,-122.802537","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",3:00 PM,Weekday,QUICK,840,,,13070.*13066,,,,
Tests Tualatin WES Station (13069) departure to outside Beaverton Transit Center,"45.382664,-122.763897","45.491320,-122.802537","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",3:00 PM,Weekday,QUICK,840,,,13069.*WES,,,,
Tests Tigard TC WES Station (13073) departure to outside Beaverton Transit Center,"45.430457,-122.771456","45.491320,-122.802537","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",3:00 PM,Weekday,QUICK,840,,,13073.*WES,,,,
Tests Hall/Nimbus WES Station (13067) departure to outside Beaverton Transit Center,"45.458891,-122.787408","45.491320,-122.802537","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",3:00 PM,Weekday,QUICK,840,,,13067.*WES,,,,
Stress test OTP with a Wilsonville to Sandy trip,"WES::45.310865,-122.775745","Sandy::45.474328,-122.337150","TRANSIT,WALK",3:11 PM,Weekday,QUICK,4828,,,WES.*13070.*Orient,,,,
#NAME?,,,,,,,,,,,,,,
Tests Hall/Nimbus WES Station (13067) arrival from outside Beaverton Transit Center (13066),"45.491320,-122.802537","45.458891,-122.787408","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",3:00 PM,Weekday,QUICK,3219,,,13066.*13067,,,,
Tests Tigard TC WES Station (13068) arrival from outside Beaverton Transit Center,"45.491320,-122.802537","45.429983,-122.768463","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",3:00 PM,Weekday,QUICK,840,,,WES.*13068,,,,
Tests Tualatin WES Station (13069) arrival from outside Beaverton Transit Center,"45.491320,-122.802537","45.384371,-122.762783","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",3:00 PM,Weekday,QUICK,840,,,WES.*13069,,,,
Tests Wilsonville WES Station (13070) arrival from outside Beaverton Transit Center,"45.491320,-122.802537","45.310195,-122.774106","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",3:00 PM,Weekday,QUICK,840,,,WES.*13070,,,,
#NAME?,,,,,,,,,,,,,,
Tests Tram from S Waterfront to Marquam Hill (should try only during normal tram hours),"45.498567,-122.670357","45.499878,-122.683758","TRANSIT,WALK",5:00 PM,Weekday,QUICK,840,,,Tram,,,,
Tests Tram from Marquam Hill to S Waterfront (should try only during normal tram hours),"45.499878,-122.683758","45.498567,-122.670357","TRANSIT,WALK",5:00 PM,Weekday,QUICK,840,,,Tram,,,,
#NAME?,,,,,,,,,,,,,,
Transit Issue 329 : Multiple itineraries are exactly the same.,"45.532872335873,-122.9167725863","45.498154669557,-122.76710652073","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",5:00 PM,,QUICK,4828,,,,,,,
"Transit Issue 492 : Wrong transit trips PDX to ZOO: build f40915d is giving trips that route through Beaverton TC (going past the zoo, looping through BTC, then back again)","45.587647,-122.593173","45.5097,-122.71629","TRANSIT,WALK",11:30 AM,,QUICK,840,,,,,,,
"Test incremental walk distance (e.g., small walk should still produce an itinerary); NOTE: in NewOTP small walk distance doesn't work anymore, so upped max walk to 3 miles (March 2016)","45.532872335873,-122.9167725863","45.498154669557,-122.76710652073","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",5:00 PM,,QUICK,4828,,,,,,,
-- Dec 2012 OTP,,,,,,,,,,,,,,
"Trips putting you on the wrong train direction (1 of 2 out and back ... see Sunset TC MAX Station to Pioneer Courthouse Square above, line ~19)","45.509950,-122.715223","45.509713,-122.782928","TRANSIT,WALK",11:30 AM,,QUICK,840,,,10121,,,,
"Trips putting you on the wrong train direction (2 of 2 out and back ... see Sunset TC MAX Station to Pioneer Courthouse Square above, line ~19)","45.519304,-122.694538","45.535148,-122.579954","TRANSIT,WALK",11:30 AM,,QUICK,840,,,10118,,,,
